id,symbol,name,current_price,market_cap,high_24h,low_24h
tezos,xtz,Tezos,0.874578,919270735,0.926536,0.870737
syrupusdc,syrupusdc,SyrupUSDC,1.11,910980162,1.11,1.11
clbtc,clbtc,clBTC,116059.0,896347876,120964.0,116053.0
theta-token,theta,Theta Network,0.894626,895332087,0.954732,0.894235
vaulta,a,Vaulta,0.562343,887994862,0.590282,0.560244
raydium,ray,Raydium,3.23,861881353,3.48,3.04
iota,iota,IOTA,0.208965,820151001,0.223184,0.208965
tether-gold,xaut,Tether Gold,3319.62,818287139,3351.36,3318.65
super-oeth,superoeth,Super OETH,3783.05,817146480,3938.08,3780.5
jasmycoin,jasmy,JasmyCoin,0.01684382,815504732,0.01789818,0.01675791
gala,gala,GALA,0.01765976,802229826,0.01866093,0.01764797
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,4002.45,800206236,4102.39,3977.77
mantle-restaked-eth,cmeth,Mantle Restaked ETH,4062.89,798074671,4197.64,4058.91
pyth-network,pyth,Pyth Network,0.133878,770168939,0.142096,0.131704
aerodrome-finance,aero,Aerodrome Finance,0.876132,755804578,0.934667,0.875288
the-sandbox,sand,The Sandbox,0.306919,750772565,0.322666,0.306742
tokenize-xchange,tkx,Tokenize Xchange,9.37,749524110,10.21,4.75
pendle,pendle,Pendle,4.4,728274613,4.73,4.38
jito-governance-token,jto,Jito,1.99,712245797,2.11,1.99
ousg,ousg,OUSG,111.94,705054361,111.94,111.94
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.1,686876890,1.11,1.078
bittorrent,btt,BitTorrent,6.91591e-07,681999935,7.03766e-07,6.9149e-07
zcash,zec,Zcash,41.83,676809177,43.29,41.35
usdx-money-usdx,usdx,Stables Labs USDX,0.997698,674103849,1.003,0.995548
tbtc,tbtc,tBTC,118078.0,670268415,119912.0,117371.0
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),3785.11,661384152,3937.28,3785.08
helium,hnt,Helium,3.49,647699410,3.68,3.36
flow,flow,Flow,0.404953,646816641,0.429705,0.404384
walrus-2,wal,Walrus,0.459547,632935248,0.492822,0.458822
syrup,syrup,Maple Finance,0.512709,612825800,0.574802,0.514286
mog-coin,mog,Mog Coin,1.54e-06,603174692,1.73e-06,1.54e-06
decentraland,mana,Decentraland,0.313527,601834246,0.331646,0.313284
newton-project,ab,AB,0.00854098,596246162,0.00879329,0.00853267
binance-peg-dogecoin,doge,Binance-Peg Dogecoin,0.23231,594999329,0.248144,0.232328
morpho,morpho,Morpho,1.86,594671361,2.01,1.86
stader-ethx,ethx,Stader ETHx,4028.28,588658242,4184.0,4026.1
bitcoin-cash-sv,bsv,Bitcoin SV,29.05,578431869,30.41,29.05
ripple-usd,rlusd,Ripple USD,0.999845,577334579,1.002,0.998648
memecore,m,MemeCore,0.348992,576678455,0.34763,0.316599
usual-usd,usd0,Usual USD,0.997683,576473144,0.997917,0.99735
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),117715.0,573863675,120201.0,118075.0
based-brett,brett,Brett,0.057415,569034122,0.062154,0.057286
solv-protocol-solvbtc-bbn,xsolvbtc,Solv Protocol Staked BTC,117572.0,562187210,119263.0,117059.0
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),3783.58,557094849,3937.17,3788.99
chain-2,xcn,Onyxcoin,0.01613374,554192693,0.01687768,0.01608582
coredaoorg,core,Core,0.55034,553090205,0.572616,0.54863
usdd,usdd,USDD,0.999395,548042895,1.0,0.998705
telcoin,tel,Telcoin,0.00593871,546345260,0.00628892,0.00585447
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,4174.31,546205363,4341.83,4175.56
beldex,bdx,Beldex,0.07529,538207951,0.07559,0.074208
wrapped-hype,whype,Wrapped HYPE,44.88,512215091,45.37,42.7
reserve-rights-token,rsr,Reserve Rights,0.0086432,507752269,0.00929195,0.00866945
ether-fi,ethfi,Ether.fi,1.21,506711492,1.31,1.2
thorchain,rune,THORChain,1.43,503926322,1.53,1.43
apecoin,ape,ApeCoin,0.629467,503425591,0.665306,0.630135
sweth,sweth,Swell Ethereum,4149.45,502743429,4312.64,4143.84
arweave,ar,Arweave,7.58,495726737,8.05,7.56
true-usd,tusd,TrueUSD,0.997566,493300876,0.999498,0.995943
aioz-network,aioz,AIOZ Network,0.404144,479450762,0.428314,0.403617
starknet,strk,Starknet,0.132415,475484395,0.140803,0.132223
apenft,nft,APENFT,4.75653e-07,470770570,4.78118e-07,4.70695e-07
dydx-chain,dydx,dYdX,0.62225,468875367,0.660731,0.621565
wemix-token,wemix,WEMIX,1.032,468102637,1.13,1.023
compound-governance-token,comp,Compound,49.79,467601634,52.08,49.83
elrond-erd-2,egld,MultiversX,16.32,465462860,17.24,16.33
neo,neo,NEO,6.57,463347334,6.95,6.59
build-on,b,BUILDon,0.462932,462746407,0.480809,0.447031
frax-ether,frxeth,Frax Ether,3788.31,456321382,3921.56,3784.16
savings-dai,sdai,Savings Dai,1.16,455798247,1.16,1.16
deep,deep,DeepBook,0.18219,454775770,0.198233,0.181342
treehouse-eth,teth,Treehouse ETH,4592.09,454556680,4768.83,4587.52
ecash,xec,eCash,2.261e-05,449632839,2.377e-05,2.262e-05
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),3789.82,442557792,3937.87,3786.61
convex-finance,cvx,Convex Finance,5.33,437267165,6.02,5.36
eigenlayer,eigen,EigenCloud (prev. EigenLayer),1.35,427258739,1.47,1.34
kava,kava,Kava,0.39355,426148914,0.40548,0.393741
zksync,zk,ZKsync,0.058668,424433499,0.0626,0.058672
axie-infinity,axs,Axie Infinity,2.55,424004939,2.7,2.55
dexe,dexe,DeXe,7.37,421051849,7.51,7.37
chiliz,chz,Chiliz,0.04280478,416971604,0.04526608,0.04278271
trip,trip,Trip,14.04,414247619,14.01,13.63
beam-2,beam,Beam,0.00806713,414200641,0.00876555,0.00806553
hashnote-usyc,usyc,Circle USYC,1.095,411159544,1.095,1.094
benqi-liquid-staked-avax,savax,BENQI Liquid Staked AVAX,31.92,410732245,33.23,30.33
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),10.76,408706172,10.76,10.76
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),0.999796,407370646,0.99991,0.999658
keeta,kta,Keeta,1.002,406530774,1.19,0.951929
usdb,usdb,USDB,1.001,406505763,1.01,0.98112
wormhole,w,Wormhole,0.085427,400577247,0.090374,0.08506
mantle-bridged-usdt-mantle,usdt,Mantle Bridged USDT (Mantle),1.001,399738779,1.005,0.99449
polygon-pos-bridged-dai-polygon-pos,dai,Polygon PoS Bridged DAI (Polygon POS),0.999745,397210644,1.001,0.999272
wrapped-avax,wavax,Wrapped AVAX,26.26,395979912,27.34,24.93
axelar,axl,Axelar,0.391912,393973576,0.414559,0.390836
sun-token,sun,Sun Token,0.02045266,391759928,0.0207346,0.02013449
bybit-staked-sol,bbsol,Bybit Staked SOL,205.8,391201347,213.96,203.02
rekt-4,rekt,Rekt,9.25143e-07,391192971,1.16e-06,9.42158e-07
superfarm,super,SuperVerse,0.862587,389684064,0.895827,0.820581
1inch,1inch,1inch,0.276938,386343557,0.29483,0.276762
venom,venom,Venom,0.184558,386178946,0.189232,0.183156
useless-3,useless,Useless Coin,0.382898,381797966,0.414943,0.347525
movement,move,Movement,0.146353,380518206,0.154658,0.145946
staked-hype,sthype,Staked HYPE,44.73,379673434,45.29,42.44
gnosis,gno,Gnosis,142.67,376572056,148.71,142.62
eos,eos,EOS,0.563401,376503334,0.58896,0.561274
akash-network,akt,Akash Network,1.37,375468148,1.45,1.37
zebec-network,zbcn,Zebec Network,0.00434638,370497561,0.0044854,0.00402758
ronin,ron,Ronin,0.560138,369419978,0.592069,0.560373
olympus,ohm,Olympus,22.35,366817711,22.59,22.26
just,jst,JUST,0.03704321,366727514,0.03765634,0.03702448
popcat,popcat,Popcat,0.369495,362267628,0.392562,0.369475
ether-fi-staked-btc,ebtc,Ether.fi Staked BTC,117578.0,356948534,121081.0,115436.0
aethir,ath,Aethir,0.03337388,355518821,0.03515936,0.0331691
dog-go-to-the-moon-rune,dog,Dog (Bitcoin),0.00349663,349567339,0.00380209,0.00349832
terra-luna,lunc,Terra Luna Classic,6.206e-05,347806387,6.486e-05,6.212e-05
polygon-bridged-wbtc-polygon-pos,wbtc,Polygon Bridged WBTC (Polygon POS),117889.0,347003505,119656.0,117851.0
turbo,turbo,Turbo,0.00499632,344853532,0.00530908,0.00500073
trust-wallet-token,twt,Trust Wallet,0.825124,343797659,0.865707,0.811912
creditcoin-2,ctc,Creditcoin,0.737307,338715977,0.768582,0.736204
matic-network,matic,Polygon,0.231962,336613021,0.244312,0.23163
reserve-protocol-eth-plus,eth+,ETHPlus,3978.95,331819359,4133.64,3975.55
global-dollar,usdg,Global Dollar,0.999629,329070283,0.999894,0.999342
staked-frax-ether,sfrxeth,Staked Frax Ether,4270.32,328060213,4424.38,4266.45
amp-token,amp,Amp,0.00387016,326305187,0.00396935,0.00387582
cat-in-a-dogs-world,mew,cat in a dogs world,0.00358247,318464907,0.00376765,0.00356497
kaito,kaito,KAITO,1.32,318058116,1.39,1.32
drift-staked-sol,dsol,Drift Staked SOL,212.28,312333364,219.77,209.39
binance-peg-busd,busd,Binance-Peg BUSD,0.999021,312150169,1.007,0.993802
